Date,cfs.daily
1999-09-01,0
1999-09-02,0
1999-09-03,0
1999-09-04,0
1999-09-05,0
1999-09-06,0
1999-09-07,0
1999-09-08,0
1999-09-09,0
1999-09-10,0
1999-09-11,0
1999-09-12,0
1999-09-13,0
1999-09-14,0
1999-09-15,0
1999-09-16,0
1999-09-17,0
1999-09-18,0
1999-09-19,0
1999-09-20,0
1999-09-21,0.31772
1999-09-22,0.25856
1999-09-23,0
1999-09-24,0
1999-09-25,0.27097
1999-09-26,0.58073
1999-09-27,0.60273
1999-09-28,0.2136
1999-09-29,0
1999-09-30,0
1999-10-01,0
1999-10-02,0
1999-10-03,0
1999-10-04,0
1999-10-05,0
1999-10-06,0
1999-10-07,0
1999-10-08,0
1999-10-09,0
1999-10-10,0
1999-10-11,0
1999-10-12,0
1999-10-13,0
1999-10-14,0
1999-10-15,0.38091
1999-10-16,2.94228
1999-10-17,2.62766
1999-10-18,2.43017
1999-10-19,2.18454
1999-10-20,2.03889
1999-10-21,1.95338
1999-10-22,1.4019
1999-10-23,0.60404
1999-10-24,0.596
1999-10-25,0.1861
1999-10-26,0.36667
1999-10-27,0.50264
1999-10-28,0.49066
1999-10-29,0.15494
1999-10-30,0
1999-10-31,0
1999-11-01,0
1999-11-02,0
1999-11-03,0
1999-11-04,0
1999-11-05,0
1999-11-06,0
1999-11-07,0
1999-11-08,0
1999-11-09,0
1999-11-10,0
1999-11-11,0
1999-11-12,0
1999-11-13,0
1999-11-14,0
1999-11-15,0
1999-11-16,0
1999-11-17,0
1999-11-18,0
1999-11-19,0
1999-11-20,0
1999-11-21,0
1999-11-22,0
1999-11-23,0
1999-11-24,0
1999-11-25,0
1999-11-26,0
1999-11-27,0
1999-11-28,0
1999-11-29,0
1999-11-30,0
1999-12-01,0
1999-12-02,0
1999-12-03,0
1999-12-04,0
1999-12-05,0
1999-12-06,0
1999-12-07,0
1999-12-08,0
1999-12-09,0
1999-12-10,0
1999-12-11,0
1999-12-12,0
1999-12-13,0
1999-12-14,0
1999-12-15,0
1999-12-16,0
1999-12-17,0
1999-12-18,0
1999-12-19,0
1999-12-20,0
1999-12-21,0
1999-12-22,0
1999-12-23,0
1999-12-24,0
1999-12-25,0
1999-12-26,0
1999-12-27,0
1999-12-28,0
1999-12-29,0
1999-12-30,0
1999-12-31,0
2000-01-01,0
2000-01-02,0
2000-01-03,0
2000-01-04,0
2000-01-05,0
2000-01-06,0
2000-01-07,0
2000-01-08,0
2000-01-09,0
2000-01-10,0
2000-01-11,0
2000-01-12,0
2000-01-13,0
2000-01-14,0
2000-01-15,0
2000-01-16,0
2000-01-17,0
2000-01-18,0
2000-01-19,0
2000-01-20,0
2000-01-21,0
2000-01-22,0
2000-01-23,0
2000-01-24,0
2000-01-25,0
2000-01-26,0
2000-01-27,0
2000-01-28,0
2000-01-29,0
2000-01-30,0
2000-01-31,0
2000-02-01,0
2000-02-02,0
2000-02-03,0
2000-02-04,0
2000-02-05,0
2000-02-06,0
2000-02-07,0
2000-02-08,0
2000-02-09,0
2000-02-10,0
2000-02-11,0
2000-02-12,0
2000-02-13,0
2000-02-14,0
2000-02-15,0
2000-02-16,0
2000-02-17,0
2000-02-18,0
2000-02-19,0
2000-02-20,0
2000-02-21,0
2000-02-22,0
2000-02-23,0
2000-02-24,0
2000-02-25,0
2000-02-26,0
2000-02-27,0
2000-02-28,0
2000-02-29,0
2000-03-01,0
2000-03-02,0
2000-03-03,0
2000-03-04,0
2000-03-05,0
2000-03-06,0
2000-03-07,0
2000-03-08,0
2000-03-09,0
2000-03-10,0
2000-03-11,0
2000-03-12,0
2000-03-13,0
2000-03-14,0
2000-03-15,0
2000-03-16,0
2000-03-17,0
2000-03-18,0
2000-03-19,0
2000-03-20,0
2000-03-21,0
2000-03-22,0
2000-03-23,0
2000-03-24,0
2000-03-25,0
2000-03-26,0
2000-03-27,0
2000-03-28,0
2000-03-29,0
2000-03-30,0
2000-03-31,0
2000-04-01,0
2000-04-02,0
2000-04-03,0
2000-04-04,0
2000-04-05,0
2000-04-06,0
2000-04-07,0
2000-04-08,0
2000-04-09,0
