date,BK_cm_day,BA_cm_day,BN_cm_day,BS_cm_day,DK_cm_day,GB_cm_day,HC_cm_day,JK_cm_day,LB_cm_day,LM_cm_day,LR_cm_day,LS_cm_day,MK_cm_day,PK_cm_day,TC_cm_day,TR_cm_day,WB_cm_day
1999-09-01,0,0,0,0,0,0.0254,0,0,0.4318,0,0,0,0,0,0,0.0508,0
1999-09-02,3.0734,0.0254,0,1.1176,0.3048,0.5334,1.8542,2.3622,3.92938,0.9398,0.254,0.254,0.381,6.35,3.175,0,0.1524
1999-09-03,0,0,0,0,0.0254,0.0254,0,0,1.27508,0,0.0254,1.9812,0,0.0254,0,0,0
1999-09-04,0,0,0,0,0,0,0,0,0.3556,0,0,0.1016,0,0,0,0,0
1999-09-05,0,0,0,0,0,0,0,0,0,0,0,1.5494,0,0,0,0.127,0
1999-09-06,0.4064,0.5842,0.6604,2.4638,1.778,0.4064,1.0922,0,4.07162,0,0.5334,0.1016,0.2032,0,1.7272,6.0452,0.7874
1999-09-07,2.1082,2.2352,2.032,1.9304,0.9906,1.3462,0.254,3.429,0.1778,0.635,2.8448,0,1.27,1.3208,0.254,3.429,2.794
1999-09-08,0.2032,2.1844,2.6924,0.8128,1.4224,0.1524,3.3528,0.635,0.254,0.127,1.4986,0.4826,0.762,2.3114,1.2192,7.8994,0.4064
1999-09-09,0.6096,2.54,3.4544,0.8382,1.0668,1.7526,0.4572,2.1844,0.1016,1.3208,2.032,1.2446,0.3556,2.7178,1.6256,1.7526,1.4732
1999-09-10,0.127,0.0254,0,0,0,16.4846,0.7366,0.1016,2.7686,0,0.0762,1.27,0.127,0.0508,0.0254,1.8288,0.4572
1999-09-11,0,0,0,0,0,0,0,0,0.7366,0,0,0,0.9906,0,0.0254,9.4742,0
1999-09-12,1.016,0,0,0,0,0,0,2.7432,6.1214,0,0,4.6736,0.2794,0,0,0.508,1.4224
1999-09-13,0.508,0,0.1524,0,0,0.2794,0,0.8128,0,0.4572,0.127,1.8288,0.508,0,0,0.2794,0.4064
1999-09-14,0,0,0.2286,0.0254,0.2286,0.0508,0,0.0254,0,0,0,0,2.1336,0.3302,0.2794,2.3876,0.0508
1999-09-15,0.0254,0,0,0,0,0,0,0,1.5494,0,0,0.254,0,0,0,2.3876,0
1999-09-16,0,0,0,0,0,0,3.3782,0,0.6096,0,0,6.9088,0,0,0.2032,2.9972,0
1999-09-17,0,0,0.0254,0,0,0.0254,0.127,0.0762,0,0.635,0.0762,0.254,0.9144,0,0.0508,0.1778,0
1999-09-18,2.6416,2.159,0.6858,0.2794,0.127,9.0424,1.0922,1.3462,0.127,2.413,1.3462,0.4064,2.413,0.7874,0.4826,0.127,4.1402
