Date,S22,S21,S20,S19,S18,S17,S16,S15
1999-09-01,0.288,0.248,0.208,0.228,0.218,0.178,0.188,0.138
1999-09-02,0.278,0.238,0.208,0.228,0.218,0.188,0.188,0.148
1999-09-03,0.288,0.238,0.208,0.228,0.218,0.198,0.198,0.148
1999-09-04,0.298,0.238,0.208,0.228,0.218,0.188,0.188,0.148
1999-09-05,0.298,0.238,0.208,0.238,0.228,0.188,0.188,0.148
1999-09-06,0.308,0.248,0.218,0.238,0.238,0.178,0.188,0.148
1999-09-07,0.318,0.268,0.228,0.268,0.258,0.188,0.188,0.158
1999-09-08,0.328,0.268,0.238,0.258,0.248,0.198,0.218,0.168
1999-09-09,0.338,0.268,0.258,0.268,0.258,0.228,0.248,0.188
1999-09-10,0.348,0.298,0.288,0.308,0.298,0.258,0.268,0.208
1999-09-11,0.348,0.308,0.288,0.318,0.308,0.278,0.288,0.228
1999-09-12,0.338,0.298,0.278,0.318,0.298,0.288,0.298,0.238
1999-09-13,0.328,0.288,0.258,0.298,0.288,0.278,0.298,0.228
1999-09-14,0.328,0.278,0.248,0.278,0.268,0.278,0.298,0.228
1999-09-15,0.348,0.268,0.268,0.268,0.248,0.268,0.278,0.208
1999-09-16,0.358,0.288,0.278,0.288,0.278,0.268,0.278,0.208
1999-09-17,0.358,0.318,0.298,0.328,0.308,0.268,0.288,0.228
1999-09-18,0.338,0.308,0.288,0.328,0.318,0.278,0.298,0.238
1999-09-19,0.338,0.308,0.288,0.328,0.328,0.318,0.328,0.258
1999-09-20,0.338,0.298,0.308,0.328,0.328,0.318,0.338,0.268
1999-09-21,0.398,0.358,0.368,0.378,0.368,0.348,0.358,0.308
1999-09-22,0.428,0.418,0.388,0.428,0.418,0.408,0.418,0.358
1999-09-23,0.378,0.378,0.358,0.408,0.398,0.408,0.428,0.358
1999-09-24,0.368,0.358,0.348,0.388,0.378,0.418,0.438,0.358
1999-09-25,0.388,0.368,0.368,0.408,0.398,0.438,0.468,0.388
1999-09-26,0.368,0.358,0.368,0.418,0.418,0.458,0.488,0.398
1999-09-27,0.358,0.348,0.348,0.418,0.408,0.448,0.478,0.388
1999-09-28,0.338,0.328,0.328,0.388,0.378,0.428,0.458,0.368
1999-09-29,0.338,0.318,0.308,0.368,0.368,0.408,0.438,0.348
1999-09-30,0.338,0.308,0.298,0.348,0.338,0.398,0.418,0.338
1999-10-01,0.328,0.298,0.288,0.328,0.328,0.378,0.398,0.318
1999-10-02,0.318,0.288,0.278,0.328,0.328,0.368,0.388,0.308
1999-10-03,0.328,0.288,0.278,0.328,0.318,0.368,0.398,0.308
1999-10-04,0.318,0.278,0.268,0.328,0.318,0.368,0.398,0.308
1999-10-05,0.308,0.278,0.268,0.318,0.308,0.368,0.398,0.308
1999-10-06,0.308,0.268,0.258,0.318,0.308,0.358,0.388,0.298
1999-10-07,0.308,0.268,0.248,0.298,0.298,0.348,0.368,0.288
1999-10-08,0.298,0.258,0.248,0.298,0.288,0.338,0.368,0.278
1999-10-09,0.308,0.258,0.238,0.298,0.288,0.328,0.358,0.268
1999-10-10,0.318,0.258,0.228,0.278,0.278,0.328,0.358,0.268
1999-10-11,0.318,0.258,0.228,0.268,0.258,0.318,0.348,0.258
