Date,BA,BK,BN,BS,DK,GB,HC,JK,LB,LM,LR,LS,MK,PK,TC,TR,WB,MB,MD,TP,Gulf_1,Ocean_1
1999-09-01,38.113,35.796,36.288,31.549,31.129,32.029,0.242,36.498,22.48885,27.146,35.546,12.867,35.917,37.096,9.67,17.777,36.216,28.276,27.043,31.113,36.26,36.93
1999-09-02,37.845,35.256,36.233,29.981,31.259,31.766,0.242,36.337,25.95715,28.5,35.636,12.348,36.018,36.429,7.985,6.789,36.408,29.045,29.396,31.454,36.11,36.83
1999-09-03,37.72,34.056,36.42,29.545,31.337,33.04,1.22,35.984,24.7679,29.142,35.713,12.943,35.778,36.333,17.979,1.196,36.513,29.067,29.001,31.294,35.95,36.74
1999-09-04,37.571,34.112,36.717,29.981,30.935,34.244,10.962,36.253,24.2072,29.309,35.79,13.754,35.626,36.817,24.533,0.788,36.718,30.145,29.219,30.849,36.12,36.64
1999-09-05,37.68,33.949,36.996,29.111,30.419,35.183,7.002,36.34,23.8046,29.165,35.802,13.813,35.71,36.731,25.503,11.387,36.792,30.219,29.205,30.945,36.15,36.54
1999-09-06,37.802,34.105,36.619,28.786,30.151,35.195,1.854,36.445,25.96555,28.839,35.876,11.744,35.802,36.773,22.711,22.633,36.993,29.962,28.679,31.128,36.22,36.44
1999-09-07,37.724,33.369,36.58,27.468,29.898,34.495,0.398,36.208,19.44195,28.055,35.608,11.397,35.876,36.842,15.063,24.434,36.492,29.299,26.578,31.094,36.13,36.34
1999-09-08,36.842,33.577,36.289,27.645,29.66,34.511,0.333,35.107,24.33365,28.329,35.371,11.706,35.759,36.626,18.789,24.262,36.117,28.827,25.511,30.196,35.72,36.24
1999-09-09,35.96,34.259,35.258,27.657,29.644,34.875,0.313,35.648,25.2145,28.511,35.288,11.065,35.519,36.259,22.914,24.542,36.349,28.372,24.372,29.019,35.68,36.14
1999-09-10,35.358,34.326,35.199,28.172,29.878,31.574,0.722,35.627,22.92665,28.69,35.306,11.312,34.63165,35.747,22.974,25.113,36.096,27.432,24.919,28.142,35.33,36.04
1999-09-11,35.91,34.47,35.26,29.02,29.991,26.238,0.589,35.737,20.6105,29.316,35.091,11.508,33.71925,35.108,12.671,25.997,35.842,27.69,28.156,28.382,34.91,35.94
1999-09-12,35.932,34.618,35.042,27.157,29.216,25.23,0.143,35.353,23.9892,29.357,35.038,10.218,35.9334,35.269,6.736,21.957,35.55,26.729,28.249,29.225,35.4,35.84
1999-09-13,35.984,34.008,35.628,26.238,29.964,23.489,0.148,34.968,22.2611,27.845,35.214,10.508,34.97435,35.344,6.297,8.804,35.488,27.156,27.038,29.332,35.13,35.74
1999-09-14,36.315,33.537,35.339,27.484,30.45,19.677,2.566,35.137,21.7413,26.607,35.171,8.28,35.60335,35.237,5.915,1.082,35.177,27.822,27.035,29.795,35.29,35.64
1999-09-15,36.191,32.595,35.502,26.935,30.258,24.255,7.592,35.235,21.8782,29.064,35.42,9.448,35.3166,35.864,20.197,0.534,34.992,28.971,26.594,29.807,35.46,35.54
1999-09-16,36.204,33.478,34.938,28.202,29.153,30.607,6.138,35.395,20.6678,29.64,35.475,12.795,35.464,36.282,20.411,1.952,34.965,28.128,27.607,29.349,35.65,35.44
1999-09-17,36.361,33.726,36.209,27.464,28.104,31.533,4.363,36.213,27.79535,28.344,35.549,11.058,35.845,36.045,15.601,18.615,35.312,28.701,25.96,29.61,35.91,35.33
1999-09-18,36.192,33.723,36.417,26.432,28.286,31.273,3.408,36.628,20.77495,27.829,35.574,10.524,36,35.651,16.043,22.89,35.575,27.406,25.563,29.918,35.96,35.23
1999-09-19,35.713,32.467,35.909,26.172,27.96,26.852,1.949,36.411,23.91225,26.299,35.398,9.94,35.867,35.868,10.51,24.217,33.57,26.431,24.832,29.836,35.89,35.13
1999-09-20,35.886,32.015,35.895,24.513,27.486,25.464,0.291,35.495,21.72345,25.733,35.331,8.201,35.568,36.141,9.242,14.685,33.934,25.675,20.33,29.455,35.63,35.03
1999-09-21,35.583,31.854,35.369,25.319,28.166,26.222,2.7,35.485,20.3398,25.972,34.909,9.504,34.857,34.658,23.207,4.649,34.697,24.572,14.452,27.541,34.98,34.93
1999-09-22,35.938,31.79,35.078,26,28.08,24.108,7.884,35.648,23.41695,27.616,35.097,12.755,34.845,35.41,12.036,16.684,34.78,25.487,23.611,26.272,35.25,34.82
1999-09-23,36.625,32.236,33.952,25.203,26.495,23.101,3.959,35.744,21.85265,28.527,35.617,11.064,34.814,36.148,6.558,7.151,35.032,25.696,25.89865,26.547,35.58,34.72
