,BA,BK,BN,BS,DK,GB,HC,JK,LB,LM,LR,LS,MK,PK,TC,TR,WB,MB,MD,TP,Gulf_1,Ocean_1
1999-09-01,38.113,35.796,36.288,31.549,31.129,32.029,0.242,36.498,22.489,27.146,35.546,12.867,35.917,37.096,9.670,17.777,36.216,28.276,27.043,31.113,36.260,36.930
1999-09-02,37.845,35.256,36.233,29.981,31.259,31.766,0.242,36.337,25.957,28.500,35.636,12.348,36.018,36.429,7.985,6.789,36.408,29.045,29.396,31.454,36.110,36.830
1999-09-03,37.720,34.056,36.420,29.545,31.337,33.040,1.220,35.984,24.768,29.142,35.713,12.943,35.778,36.333,17.979,1.196,36.513,29.067,29.001,31.294,35.950,36.740
1999-09-04,37.571,34.112,36.717,29.981,30.935,34.244,10.962,36.253,24.207,29.309,35.790,13.754,35.626,36.817,24.533,0.788,36.718,30.145,29.219,30.849,36.120,36.640
1999-09-05,37.680,33.949,36.996,29.111,30.419,35.183,7.002,36.340,23.805,29.165,35.802,13.813,35.710,36.731,25.503,11.387,36.792,30.219,29.205,30.945,36.150,36.540
1999-09-06,37.802,34.105,36.619,28.786,30.151,35.195,1.854,36.445,25.966,28.839,35.876,11.744,35.802,36.773,22.711,22.633,36.993,29.962,28.679,31.128,36.220,36.440
1999-09-07,37.724,33.369,36.580,27.468,29.898,34.495,0.398,36.208,19.442,28.055,35.608,11.397,35.876,36.842,15.063,24.434,36.492,29.299,26.578,31.094,36.130,36.340
1999-09-08,36.842,33.577,36.289,27.645,29.660,34.511,0.333,35.107,24.334,28.329,35.371,11.706,35.759,36.626,18.789,24.262,36.117,28.827,25.511,30.196,35.720,36.240
1999-09-09,35.960,34.259,35.258,27.657,29.644,34.875,0.313,35.648,25.215,28.511,35.288,11.065,35.519,36.259,22.914,24.542,36.349,28.372,24.372,29.019,35.680,36.140
1999-09-10,35.358,34.326,35.199,28.172,29.878,31.574,0.722,35.627,22.927,28.690,35.306,11.312,34.632,35.747,22.974,25.113,36.096,27.432,24.919,28.142,35.330,36.040
1999-09-11,35.910,34.470,35.260,29.020,29.991,26.238,0.589,35.737,20.610,29.316,35.091,11.508,33.719,35.108,12.671,25.997,35.842,27.690,28.156,28.382,34.910,35.940
1999-09-12,35.932,34.618,35.042,27.157,29.216,25.230,0.143,35.353,23.989,29.357,35.038,10.218,35.933,35.269,6.736,21.957,35.550,26.729,28.249,29.225,35.400,35.840
1999-09-13,35.984,34.008,35.628,26.238,29.964,23.489,0.148,34.968,22.261,27.845,35.214,10.508,34.974,35.344,6.297,8.804,35.488,27.156,27.038,29.332,35.130,35.740
1999-09-14,36.315,33.537,35.339,27.484,30.450,19.677,2.566,35.137,21.741,26.607,35.171,8.280,35.603,35.237,5.915,1.082,35.177,27.822,27.035,29.795,35.290,35.640
1999-09-15,36.191,32.595,35.502,26.935,30.258,24.255,7.592,35.235,21.878,29.064,35.420,9.448,35.317,35.864,20.197,0.534,34.992,28.971,26.594,29.807,35.460,35.540
1999-09-16,36.204,33.478,34.938,28.202,29.153,30.607,6.138,35.395,20.668,29.640,35.475,12.795,35.464,36.282,20.411,1.952,34.965,28.128,27.607,29.349,35.650,35.440
1999-09-17,36.361,33.726,36.209,27.464,28.104,31.533,4.363,36.213,27.795,28.344,35.549,11.058,35.845,36.045,15.601,18.615,35.312,28.701,25.960,29.610,35.910,35.330
1999-09-18,36.192,33.723,36.417,26.432,28.286,31.273,3.408,36.628,20.775,27.829,35.574,10.524,36.000,35.651,16.043,22.890,35.575,27.406,25.563,29.918,35.960,35.230
1999-09-19,35.713,32.467,35.909,26.172,27.960,26.852,1.949,36.411,23.912,26.299,35.398,9.940,35.867,35.868,10.510,24.217,33.570,26.431,24.832,29.836,35.890,35.130
1999-09-20,35.886,32.015,35.895,24.513,27.486,25.464,0.291,35.495,21.723,25.733,35.331,8.201,35.568,36.141,9.242,14.685,33.934,25.675,20.330,29.455,35.630,35.030
1999-09-21,35.583,31.854,35.369,25.319,28.166,26.222,2.700,35.485,20.340,25.972,34.909,9.504,34.857,34.658,23.207,4.649,34.697,24.572,14.452,27.541,34.980,34.930
1999-09-22,35.938,31.790,35.078,26.000,28.080,24.108,7.884,35.648,23.417,27.616,35.097,12.755,34.845,35.410,12.036,16.684,34.780,25.487,23.611,26.272,35.250,34.820
1999-09-23,36.625,32.236,33.952,25.203,26.495,23.101,3.959,35.744,21.853,28.527,35.617,11.064,34.814,36.148,6.558,7.151,35.032,25.696,25.899,26.547,35.580,34.720
1999-09-24,35.864,31.963,33.289,23.418,27.329,22.482,1.160,35.196,21.036,27.301,35.180,8.570,34.477,36.023,7.761,0.578,34.238,26.433,23.107,26.803,35.220,34.620
1999-09-25,34.802,31.306,32.784,21.714,25.989,19.794,0.176,34.403,16.644,23.999,34.296,5.891,33.601,35.243,5.909,0.417,32.982,25.081,22.719,27.431,34.390,34.520
1999-09-26,34.409,30.213,32.515,19.045,26.944,16.875,0.082,33.469,21.860,20.685,34.047,3.731,33.110,35.080,5.389,0.307,31.969,22.414,27.400,28.884,33.930,34.410
1999-09-27,34.228,29.693,32.637,17.903,27.367,13.802,0.154,33.054,11.613,20.068,33.891,3.445,32.872,34.778,4.746,0.241,31.614,18.319,23.910,28.690,33.650,34.310
1999-09-28,34.387,29.414,33.345,18.805,27.223,22.260,0.204,33.240,11.508,22.278,33.971,3.335,32.640,35.536,4.017,0.211,31.429,13.414,24.246,28.112,33.850,34.210
1999-09-29,34.574,28.378,33.488,16.681,27.264,24.090,0.221,33.747,10.676,21.432,33.928,3.197,32.921,36.430,2.843,0.205,32.057,19.804,26.763,27.859,34.260,34.110
1999-09-30,34.492,26.736,32.239,20.203,27.635,24.399,0.224,33.604,9.326,20.746,33.916,3.984,33.003,36.018,2.383,0.210,32.217,22.262,26.230,25.236,34.140,34.010
1999-10-01,34.354,27.259,32.030,18.988,27.899,24.402,0.230,33.622,9.890,19.390,34.090,3.226,33.009,35.852,1.709,0.218,32.290,19.150,27.822,26.698,34.140,33.910
1999-10-02,34.344,26.113,32.749,19.268,28.240,22.452,0.242,34.498,10.475,18.118,34.084,2.573,33.021,36.030,1.670,0.225,33.015,16.584,27.548,26.599,34.410,33.800
1999-10-03,33.064,26.139,33.308,20.336,28.067,21.687,0.246,33.619,9.824,16.338,33.735,2.429,31.324,36.121,1.577,0.228,31.994,17.643,26.452,26.711,33.700,33.700
1999-10-04,32.443,25.022,32.199,23.512,28.574,21.199,0.250,32.570,9.488,14.112,33.720,2.247,29.455,35.755,1.219,0.223,32.026,18.233,25.485,26.958,32.880,33.600
1999-10-05,32.859,25.144,32.215,25.605,28.902,20.603,0.916,32.567,8.434,18.132,33.442,4.322,30.444,35.557,1.506,0.216,31.109,20.723,27.459,24.171,33.000,33.500
1999-10-06,31.612,25.808,31.088,24.919,28.936,21.173,0.278,32.698,9.588,16.951,33.134,3.748,30.086,35.441,1.066,0.214,31.076,18.486,26.836,24.393,32.840,33.400
1999-10-07,31.293,24.093,30.921,21.234,29.121,19.323,0.247,32.251,8.768,14.515,33.112,2.974,29.404,35.532,0.956,0.221,30.813,18.317,24.340,25.335,32.570,33.300
1999-10-08,31.263,23.328,31.618,22.420,29.091,18.600,0.277,31.411,8.739,16.359,33.204,2.193,28.845,35.506,0.868,0.225,30.379,18.897,25.332,26.170,32.240,33.200
1999-10-09,30.259,23.629,31.894,22.375,28.836,16.605,0.309,30.696,9.191,14.766,33.240,1.924,27.185,35.178,0.757,0.228,30.578,19.785,27.706,26.339,31.570,33.100
1999-10-10,29.979,24.399,30.829,22.161,29.357,17.082,0.551,28.220,9.433,14.373,33.182,2.256,25.133,34.968,0.666,0.235,30.400,19.969,29.210,26.627,30.380,33.000
1999-10-11,30.665,21.229,29.542,21.633,28.879,15.769,0.763,24.672,20.716,14.380,30.813,2.554,23.219,34.687,0.767,0.239,29.816,19.163,27.103,26.732,28.350,32.910
1999-10-12,30.726,22.319,29.728,22.080,28.295,15.767,0.764,23.091,19.289,14.327,31.630,2.629,22.084,34.611,0.733,0.242,29.183,19.155,28.051,26.716,27.850,32.810
1999-10-13,31.200,24.517,29.648,20.821,28.462,23.957,0.749,25.292,18.969,13.793,32.202,3.130,20.565,34.245,0.701,0.249,29.483,19.355,26.276,26.573,28.080,32.710
1999-10-14,30.842,23.853,28.429,22.047,27.955,26.186,1.385,25.888,20.844,13.839,31.875,3.604,18.934,34.618,1.216,0.246,28.419,19.598,25.194,26.489,27.830,32.610
1999-10-15,28.053,23.876,27.687,22.063,25.893,26.599,2.293,24.070,21.909,13.946,30.331,4.283,14.992,32.390,12.396,0.237,24.274,18.112,26.874,22.863,25.450,32.520
1999-10-16,34.200,23.756,25.933,21.965,25.280,26.131,5.579,21.983,21.765,13.507,28.065,4.895,14.669,30.059,12.169,0.244,26.220,16.077,26.814,18.464,23.690,32.420
1999-10-17,33.689,23.696,26.076,23.712,22.102,24.264,4.684,21.229,23.567,13.965,29.001,5.001,14.896,29.033,3.227,0.194,24.932,10.668,27.889,17.670,23.540,32.330
1999-10-18,34.653,20.972,24.468,22.423,20.913,26.925,1.772,20.778,21.234,16.900,28.956,4.394,14.833,29.553,1.701,0.172,21.670,3.896,27.184,16.364,23.530,32.230
1999-10-19,32.875,17.430,22.832,12.135,22.245,28.263,0.169,22.862,9.580,16.455,29.292,2.130,15.209,29.678,1.760,0.160,22.267,2.192,24.692,17.381,24.260,32.140
1999-10-20,33.122,16.192,23.302,10.572,23.175,27.600,0.166,24.995,7.282,14.155,30.005,1.615,15.021,29.893,1.807,0.158,22.661,2.712,24.934,16.960,24.980,32.050
1999-10-21,33.628,16.898,23.185,12.702,22.907,26.599,0.174,24.483,5.720,17.088,30.225,2.825,15.598,30.115,1.571,0.161,23.494,3.927,27.046,15.112,25.110,31.950
1999-10-22,34.242,18.233,22.557,18.500,23.413,23.759,0.211,23.155,4.213,18.171,30.756,4.455,16.749,30.042,1.390,0.166,23.132,6.631,26.413,10.805,25.180,31.860
1999-10-23,31.842,19.795,22.004,17.504,23.772,24.432,0.240,22.184,5.042,16.564,30.858,3.851,18.518,29.855,1.487,0.169,21.654,11.326,26.114,11.152,25.350,31.770
1999-10-24,32.497,22.595,21.392,17.093,21.296,28.731,0.266,21.124,5.295,16.402,30.647,3.714,20.084,29.921,1.239,0.172,21.781,13.286,25.370,13.605,25.440,31.680
1999-10-25,32.045,23.318,21.597,16.023,21.394,21.905,0.265,21.326,6.144,15.903,30.376,4.354,20.513,29.800,0.912,0.174,21.723,13.202,25.142,14.228,25.500,31.590
1999-10-26,24.889,20.317,20.526,15.286,21.870,4.802,0.805,21.741,6.795,15.346,29.034,2.960,21.370,29.455,0.897,0.177,20.937,13.211,27.253,14.758,25.400,31.500
1999-10-27,24.874,23.701,20.337,14.915,22.644,4.548,2.860,23.371,6.810,14.095,28.482,2.364,22.125,29.170,0.768,0.180,20.808,13.061,24.646,15.410,25.790,31.410
1999-10-28,24.733,23.684,20.230,14.285,21.744,4.653,2.568,23.722,6.019,13.370,26.680,2.291,22.620,29.187,0.666,0.183,20.805,12.460,24.608,15.870,25.550,31.330
1999-10-29,24.288,17.996,20.784,12.272,21.714,8.282,0.617,23.941,6.077,12.610,25.059,2.262,22.817,29.055,0.698,0.184,21.406,12.096,27.151,16.728,25.220,31.240
1999-10-30,24.294,17.164,20.059,12.838,20.335,14.301,1.035,24.572,6.599,14.583,24.646,2.303,22.315,29.832,0.712,0.186,21.523,11.149,25.547,17.485,25.340,31.150
