Date,BA,BK,BN,BS,DK,GB,HC,JK,LB,LM,LR,LS,MK,PK,TC,TR,WB,MB,MD
1999-09-01,1.22,1.285,1.386,3.255,null,1.284,1.418,1.139,null,1.373,1.27,1.369,0.964,1.158,1.4,1.593,1.265,3.506,2.924
1999-09-02,1.223,1.178,1.322,null,null,1.175,1.387,1.053,null,1.305,1.245,1.36,0.88,1.223,1.32,1.603,1.197,3.752,3.172
1999-09-03,1.471,1.355,1.489,null,null,1.287,1.477,1.255,null,1.488,1.432,1.472,1.081,1.485,1.505,1.597,1.385,3.871,3.302
1999-09-04,1.666,1.597,1.76,null,null,1.509,1.64,1.483,null,1.732,1.656,1.645,1.29,1.652,1.768,1.599,1.634,3.901,3.34
1999-09-05,1.586,1.628,1.708,null,null,1.583,1.676,1.504,null,1.724,1.607,1.674,1.322,1.52,1.756,1.633,1.614,3.738,3.174
1999-09-06,1.515,1.613,1.637,null,null,1.551,1.643,1.483,null,1.676,1.56,1.629,1.305,1.441,1.702,1.657,1.562,3.667,3.109
1999-09-07,1.483,1.535,1.621,null,null,1.533,1.637,1.393,null,1.637,1.487,1.62,1.211,1.406,1.7,1.676,1.52,3.672,3.114
1999-09-08,1.584,1.6,1.721,null,null,1.637,1.68,1.527,null,1.708,1.595,1.666,1.35,1.5,1.765,1.694,1.597,3.658,3.094
1999-09-09,1.654,1.695,1.841,null,null,1.746,1.766,1.657,null,1.805,1.656,1.755,1.9,1.535,1.904,1.762,1.696,3.59,3.033
1999-09-10,1.71,1.797,1.94,null,null,1.857,1.871,1.697,null,1.896,1.712,1.883,null,1.578,1.991,1.85,1.778,3.561,2.998
1999-09-11,1.575,1.632,1.756,null,null,1.681,1.781,1.529,null,1.741,1.611,1.763,null,1.487,1.787,1.883,1.628,3.624,3.043
1999-09-12,1.49,1.539,1.591,null,null,null,1.613,1.449,null,1.595,1.576,1.59,null,1.458,1.557,1.874,1.523,3.687,3.077
1999-09-13,1.349,1.313,1.412,null,null,null,1.487,1.289,null,1.335,1.474,1.465,null,1.416,1.245,1.854,1.324,3.957,3.312
1999-09-14,1.356,0.944,1.449,null,null,null,1.443,1.317,null,0.933,1.47,1.417,null,1.554,0.984,1.806,1.192,4.338,3.692
1999-09-15,1.82,1.617,1.981,null,null,null,1.796,1.892,null,1.772,1.819,1.834,null,1.803,1.961,1.753,1.765,4.067,3.53
1999-09-16,1.763,1.722,1.902,null,null,null,1.922,1.458,null,1.918,1.714,1.95,0.899,1.703,1.919,1.833,1.74,4.25,3.667
1999-09-17,1.755,1.69,1.84,null,null,null,1.892,1.473,null,1.881,1.679,1.893,1.307,1.718,1.913,1.902,1.7,4.119,3.551
1999-09-18,1.792,1.797,1.851,null,null,null,1.863,1.561,null,1.922,1.757,1.87,1.407,1.744,1.922,1.949,1.768,4.01,3.434
1999-09-19,1.662,1.728,1.715,null,null,null,1.803,1.49,null,1.805,1.666,1.79,1.349,1.624,1.824,2.019,1.669,3.9,3.32
1999-09-20,1.699,1.844,1.74,null,null,null,1.758,1.74,null,1.83,1.705,1.743,1.673,1.617,1.92,2.01,1.748,3.665,3.122
1999-09-21,2.111,2.526,2.273,null,null,2.964,2.039,2.379,null,2.202,2.106,2.287,2.422,1.826,2.605,2.165,2.34,3.247,2.787
1999-09-22,1.838,1.848,2.118,null,null,1.85,2.08,1.633,null,null,1.806,2.167,1.417,1.7,2.139,2.333,1.89,3.549,2.969
1999-09-23,1.58,1.605,1.752,null,null,1.582,1.803,1.457,null,null,1.59,1.796,1.227,1.484,1.765,2.237,1.606,3.66,3.085
1999-09-24,1.616,1.708,1.744,null,null,1.694,1.734,1.584,null,null,1.654,1.738,1.359,1.512,1.828,2.213,1.669,3.671,3.101
1999-09-25,1.629,1.731,1.756,null,null,1.728,1.762,1.511,null,null,1.647,1.772,1.253,1.517,1.862,2.298,1.673,3.785,3.215
1999-09-26,1.57,1.701,1.648,null,null,1.673,1.724,1.465,null,null,1.61,1.738,1.192,1.467,1.781,2.317,1.623,3.821,3.251
1999-09-27,1.48,1.649,1.585,null,1.448,1.606,1.69,1.409,null,null,1.556,1.652,1.129,1.383,1.695,2.271,1.555,3.752,3.182
1999-09-28,1.281,1.443,1.321,null,1.231,1.352,1.577,1.225,null,1.411,1.409,1.493,0.95,1.257,1.399,2.217,1.319,3.728,3.158
1999-09-29,1.301,1.408,1.264,null,1.207,1.346,1.496,1.336,null,1.37,1.412,1.399,1.135,1.302,1.34,2.145,1.315,3.708,3.138
1999-09-30,1.357,1.463,1.414,null,1.38,1.429,1.469,1.396,null,1.465,1.443,1.376,1.228,1.315,1.472,2.092,1.409,3.563,2.993
1999-10-01,1.365,1.496,1.427,null,1.384,1.468,1.471,1.362,null,1.521,1.451,1.393,1.162,1.308,1.495,2.054,1.418,3.576,3.006
1999-10-02,1.278,1.387,1.263,null,1.208,1.365,1.426,1.169,null,1.444,1.342,1.355,0.959,1.263,1.381,2.018,1.273,3.638,3.074
1999-10-03,1.236,1.349,1.2,null,1.133,1.32,1.439,1.029,null,1.41,1.295,1.37,0.762,1.216,1.313,2.014,1.237,3.734,3.174
1999-10-04,1.228,1.307,1.2,null,1.187,1.319,1.433,1.131,null,1.36,1.241,1.359,0.953,1.185,1.338,2.03,1.228,3.639,3.079
1999-10-05,1.343,1.41,1.414,null,1.359,1.388,1.406,1.32,null,1.429,1.404,1.33,1.129,1.275,1.429,2.015,1.394,3.506,2.946
1999-10-06,1.319,1.34,1.342,null,1.251,1.292,1.423,1.183,null,1.417,1.379,1.36,0.925,1.283,1.352,1.977,1.319,3.648,3.088
1999-10-07,1.269,1.323,1.295,null,1.22,1.287,1.424,1.156,null,1.399,1.34,1.355,0.884,1.232,1.339,1.946,1.273,3.597,3.037
1999-10-08,1.274,1.366,1.217,null,1.153,1.324,1.381,1.202,null,1.397,1.354,1.333,0.937,1.249,1.314,1.912,1.273,3.697,3.137
1999-10-09,1.248,1.422,1.193,null,1.107,1.36,1.41,1.204,null,1.425,1.363,1.375,0.92,1.208,1.294,1.912,1.272,3.874,3.314
1999-10-10,1.125,1.248,1.067,null,0.953,1.177,1.411,1.006,null,1.238,1.246,1.366,0.696,1.121,1.115,1.9,1.141,3.855,3.295
1999-10-11,1.215,1.288,1.127,null,1.009,1.219,1.361,1.179,null,1.235,1.346,1.307,0.888,1.228,1.134,1.866,1.225,3.738,3.186
1999-10-12,1.216,1.34,1.145,null,1.06,1.261,1.418,1.149,null,1.342,1.337,1.369,0.844,1.229,1.229,1.861,1.204,3.805,3.255
1999-10-13,1.143,1.212,1.046,null,0.941,null,1.377,0.954,null,1.223,1.221,1.327,0.68,1.189,1.1,1.829,1.1,3.762,3.212
1999-10-14,1.289,1.293,1.219,null,1.17,null,1.432,1.038,null,1.419,1.33,1.378,0.754,1.303,1.322,1.868,1.221,3.76,3.21
1999-10-15,2.142,2.379,1.067,null,1.685,null,1.852,1.593,null,2.532,2.047,1.959,0.484,1.879,2.455,2.593,1.945,4.538,3.988
1999-10-16,2.151,2.098,2.678,null,2.749,null,null,1.777,null,null,1.954,null,1.65,1.785,2.835,2.921,2.24,3.345,2.795
1999-10-17,1.567,1.491,1.946,null,1.958,null,null,1.304,null,null,1.474,null,1.188,1.374,2.062,2.746,1.631,3.442,2.893
1999-10-18,1.298,1.183,1.513,null,1.455,null,null,1.037,null,null,1.276,null,0.885,1.215,1.563,2.59,1.304,3.492,2.943
1999-10-19,1.186,1.109,1.302,null,1.245,null,1.579,0.973,null,null,1.173,1.476,0.789,1.12,1.384,2.473,1.19,3.68,3.13
1999-10-20,1.242,1.11,1.287,null,1.242,null,1.54,1.049,null,null,1.206,1.461,0.799,1.19,1.387,2.392,1.223,3.766,3.225
1999-10-21,1.41,1.183,1.483,null,1.415,null,1.54,1.281,null,null,1.407,1.487,0.981,1.344,1.491,2.328,1.424,3.782,3.242
1999-10-22,1.509,1.199,1.561,null,1.399,null,1.529,1.414,null,null,1.541,1.492,1.131,1.502,1.409,2.27,1.463,3.923,3.383
1999-10-23,1.555,1.244,1.65,null,1.52,null,1.588,1.533,null,null,1.609,1.565,1.321,1.526,1.515,2.21,1.552,4.001,3.461
1999-10-24,1.555,1.27,1.674,null,1.502,null,1.646,1.51,null,null,1.621,1.609,1.256,1.532,1.484,2.156,1.545,4.024,3.484
1999-10-25,1.369,1.186,1.416,null,1.176,null,1.614,1.105,null,null,1.434,1.598,0.699,1.415,1.244,2.113,1.275,4.26,3.72
1999-10-26,1.269,1.007,1.26,null,1.077,0.961,1.617,1.125,null,null,1.336,1.586,0.857,1.307,1.128,2.072,1.212,4.242,3.702
1999-10-27,1.292,1.005,1.355,null,1.174,1.054,1.585,1.219,null,null,1.394,1.552,0.927,1.314,1.201,2.028,1.267,4.151,3.611
1999-10-28,1.202,1.042,1.252,null,1.034,0.946,1.532,1.044,null,null,1.299,1.51,0.782,1.228,1.103,1.991,1.15,4.137,3.597
1999-10-29,1.176,0.995,1.088,null,0.91,1.009,1.536,0.985,null,null,1.258,1.535,0.719,1.218,1.063,1.983,1.122,4.273,3.743
1999-10-30,1.227,1.015,1.136,null,1.005,0.951,1.496,1.135,null,null,1.298,1.47,0.943,1.264,1.121,1.944,1.176,4.016,3.486
1999-10-31,1.241,1.07,1.23,null,1.15,null,1.456,1.145,null,null,1.288,1.422,0.965,1.192,1.271,1.91,1.253,3.779,3.249
1999-11-01,1.241,1.12,1.225,null,1.184,null,1.356,1.153,null,null,1.247,1.301,1.013,1.191,1.314,1.884,1.237,3.548,3.018
