Time, WL.(m).demeaned
2010-01-01 12:00 AM EST, 0.679
2010-01-01 1:00 AM EST, 0.715
2010-01-01 2:00 AM EST, 0.64
2010-01-01 3:00 AM EST, 0.457
2010-01-01 4:00 AM EST, 0.176
2010-01-01 5:00 AM EST, -0.161
2010-01-01 6:00 AM EST, -0.507
2010-01-01 7:00 AM EST, -0.807
2010-01-01 8:00 AM EST, -0.988
2010-01-01 9:00 AM EST, -0.975
2010-01-01 10:00 AM EST, -0.75
2010-01-01 11:00 AM EST, -0.419
2010-01-01 12:00 PM EST, -0.106
2010-01-01 1:00 PM EST, 0.132
2010-01-01 2:00 PM EST, 0.281
2010-01-01 3:00 PM EST, 0.329
2010-01-01 4:00 PM EST, 0.273
2010-01-01 5:00 PM EST, 0.142
2010-01-01 6:00 PM EST, -0.022
2010-01-01 7:00 PM EST, -0.183
2010-01-01 8:00 PM EST, -0.288
2010-01-01 9:00 PM EST, -0.257
2010-01-01 10:00 PM EST, -0.041
2010-01-01 11:00 PM EST, 0.275
2010-01-02 12:00 AM EST, 0.542
2010-01-02 1:00 AM EST, 0.683
2010-01-02 2:00 AM EST, 0.695
2010-01-02 3:00 AM EST, 0.604
2010-01-02 4:00 AM EST, 0.407
2010-01-02 5:00 AM EST, 0.118
2010-01-02 6:00 AM EST, -0.22
2010-01-02 7:00 AM EST, -0.558
2010-01-02 8:00 AM EST, -0.835
2010-01-02 9:00 AM EST, -0.972
2010-01-02 10:00 AM EST, -0.9
2010-01-02 11:00 AM EST, -0.629
2010-01-02 12:00 PM EST, -0.289
2010-01-02 1:00 PM EST, 0.003
2010-01-02 2:00 PM EST, 0.208
2010-01-02 3:00 PM EST, 0.323
2010-01-02 4:00 PM EST, 0.336
2010-01-02 5:00 PM EST, 0.247
2010-01-02 6:00 PM EST, 0.09
2010-01-02 7:00 PM EST, -0.094
2010-01-02 8:00 PM EST, -0.262
2010-01-02 9:00 PM EST, -0.354
2010-01-02 10:00 PM EST, -0.291
2010-01-02 11:00 PM EST, -0.045
2010-01-03 12:00 AM EST, 0.269
2010-01-03 1:00 AM EST, 0.511
2010-01-03 2:00 AM EST, 0.627
2010-01-03 3:00 AM EST, 0.626
2010-01-03 4:00 AM EST, 0.531
2010-01-03 5:00 AM EST, 0.334
2010-01-03 6:00 AM EST, 0.052
2010-01-03 7:00 AM EST, -0.27
2010-01-03 8:00 AM EST, -0.58
2010-01-03 9:00 AM EST, -0.814
2010-01-03 10:00 AM EST, -0.897
2010-01-03 11:00 AM EST, -0.768
2010-01-03 12:00 PM EST, -0.473
2010-01-03 1:00 PM EST, -0.149
2010-01-03 2:00 PM EST, 0.107
2010-01-03 3:00 PM EST, 0.275
2010-01-03 4:00 PM EST, 0.355
2010-01-03 5:00 PM EST, 0.332
2010-01-03 6:00 PM EST, 0.212
2010-01-03 7:00 PM EST, 0.031
2010-01-03 8:00 PM EST, -0.166
2010-01-03 9:00 PM EST, -0.334
2010-01-03 10:00 PM EST, -0.412
2010-01-03 11:00 PM EST, -0.326
2010-01-04 12:00 AM EST, -0.077
2010-01-04 1:00 AM EST, 0.212
2010-01-04 2:00 AM EST, 0.42
2010-01-04 3:00 AM EST, 0.517
2010-01-04 4:00 AM EST, 0.517
2010-01-04 5:00 AM EST, 0.428
2010-01-04 6:00 AM EST, 0.244
2010-01-04 7:00 AM EST, -0.015
2010-01-04 8:00 AM EST, -0.301
2010-01-04 9:00 AM EST, -0.563
2010-01-04 10:00 AM EST, -0.741
2010-01-04 11:00 AM EST, -0.769
2010-01-04 12:00 PM EST, -0.6
2010-01-04 1:00 PM EST, -0.306
2010-01-04 2:00 PM EST, -0.016
2010-01-04 3:00 PM EST, 0.198
2010-01-04 4:00 PM EST, 0.33
2010-01-04 5:00 PM EST, 0.376
2010-01-04 6:00 PM EST, 0.319
2010-01-04 7:00 PM EST, 0.172
2010-01-04 8:00 PM EST, -0.025
2010-01-04 9:00 PM EST, -0.227
2010-01-04 10:00 PM EST, -0.39
2010-01-04 11:00 PM EST, -0.458
2010-01-05 12:00 AM EST, -0.372
2010-01-05 1:00 AM EST, -0.145
2010-01-05 2:00 AM EST, 0.103
2010-01-05 3:00 AM EST, 0.279
2010-01-05 4:00 AM EST, 0.37
2010-01-05 5:00 AM EST, 0.383
2010-01-05 6:00 AM EST, 0.31
2010-01-05 7:00 AM EST, 0.149
2010-01-05 8:00 AM EST, -0.071
2010-01-05 9:00 AM EST, -0.303
2010-01-05 10:00 AM EST, -0.504
2010-01-05 11:00 AM EST, -0.626
2010-01-05 12:00 PM EST, -0.609
2010-01-05 1:00 PM EST, -0.424
2010-01-05 2:00 PM EST, -0.151
