Time, WL.(m).demeaned
2010-01-01 12:00 AM EST, -0.009
2010-01-01 1:00 AM EST, -0.142
2010-01-01 2:00 AM EST, -0.234
2010-01-01 3:00 AM EST, -0.269
2010-01-01 4:00 AM EST, -0.251
2010-01-01 5:00 AM EST, -0.2
2010-01-01 6:00 AM EST, -0.132
2010-01-01 7:00 AM EST, -0.06
2010-01-01 8:00 AM EST, 0.005
2010-01-01 9:00 AM EST, 0.048
2010-01-01 10:00 AM EST, 0.056
2010-01-01 11:00 AM EST, 0.015
2010-01-01 12:00 PM EST, -0.063
2010-01-01 1:00 PM EST, -0.143
2010-01-01 2:00 PM EST, -0.188
2010-01-01 3:00 PM EST, -0.172
2010-01-01 4:00 PM EST, -0.097
2010-01-01 5:00 PM EST, 0.014
2010-01-01 6:00 PM EST, 0.134
2010-01-01 7:00 PM EST, 0.239
2010-01-01 8:00 PM EST, 0.314
2010-01-01 9:00 PM EST, 0.344
2010-01-01 10:00 PM EST, 0.319
2010-01-01 11:00 PM EST, 0.238
2010-01-02 12:00 AM EST, 0.112
2010-01-02 1:00 AM EST, -0.034
2010-01-02 2:00 AM EST, -0.161
2010-01-02 3:00 AM EST, -0.241
2010-01-02 4:00 AM EST, -0.262
2010-01-02 5:00 AM EST, -0.232
2010-01-02 6:00 AM EST, -0.171
2010-01-02 7:00 AM EST, -0.096
2010-01-02 8:00 AM EST, -0.022
2010-01-02 9:00 AM EST, 0.04
2010-01-02 10:00 AM EST, 0.075
2010-01-02 11:00 AM EST, 0.068
2010-01-02 12:00 PM EST, 0.012
2010-01-02 1:00 PM EST, -0.075
2010-01-02 2:00 PM EST, -0.156
2010-01-02 3:00 PM EST, -0.195
2010-01-02 4:00 PM EST, -0.175
2010-01-02 5:00 PM EST, -0.097
2010-01-02 6:00 PM EST, 0.013
2010-01-02 7:00 PM EST, 0.129
2010-01-02 8:00 PM EST, 0.23
2010-01-02 9:00 PM EST, 0.3
2010-01-02 10:00 PM EST, 0.322
2010-01-02 11:00 PM EST, 0.29
2010-01-03 12:00 AM EST, 0.204
2010-01-03 1:00 AM EST, 0.076
2010-01-03 2:00 AM EST, -0.063
2010-01-03 3:00 AM EST, -0.177
2010-01-03 4:00 AM EST, -0.24
2010-01-03 5:00 AM EST, -0.245
2010-01-03 6:00 AM EST, -0.202
2010-01-03 7:00 AM EST, -0.132
2010-01-03 8:00 AM EST, -0.052
2010-01-03 9:00 AM EST, 0.023
2010-01-03 10:00 AM EST, 0.08
2010-01-03 11:00 AM EST, 0.103
2010-01-03 12:00 PM EST, 0.08
2010-01-03 1:00 PM EST, 0.011
2010-01-03 2:00 PM EST, -0.081
2010-01-03 3:00 PM EST, -0.162
2010-01-03 4:00 PM EST, -0.199
2010-01-03 5:00 PM EST, -0.178
2010-01-03 6:00 PM EST, -0.104
2010-01-03 7:00 PM EST, -0.001
2010-01-03 8:00 PM EST, 0.107
2010-01-03 9:00 PM EST, 0.199
2010-01-03 10:00 PM EST, 0.26
2010-01-03 11:00 PM EST, 0.276
2010-01-04 12:00 AM EST, 0.24
2010-01-04 1:00 AM EST, 0.154
2010-01-04 2:00 AM EST, 0.034
2010-01-04 3:00 AM EST, -0.091
2010-01-04 4:00 AM EST, -0.187
2010-01-04 5:00 AM EST, -0.231
2010-01-04 6:00 AM EST, -0.22
2010-01-04 7:00 AM EST, -0.164
2010-01-04 8:00 AM EST, -0.086
2010-01-04 9:00 AM EST, -0.003
2010-01-04 10:00 AM EST, 0.07
2010-01-04 11:00 AM EST, 0.119
2010-01-04 12:00 PM EST, 0.13
2010-01-04 1:00 PM EST, 0.093
2010-01-04 2:00 PM EST, 0.015
2010-01-04 3:00 PM EST, -0.081
2010-01-04 4:00 PM EST, -0.162
2010-01-04 5:00 PM EST, -0.2
2010-01-04 6:00 PM EST, -0.184
2010-01-04 7:00 PM EST, -0.12
2010-01-04 8:00 PM EST, -0.029
2010-01-04 9:00 PM EST, 0.066
2010-01-04 10:00 PM EST, 0.147
2010-01-04 11:00 PM EST, 0.2
2010-01-05 12:00 AM EST, 0.212
2010-01-05 1:00 AM EST, 0.176
2010-01-05 2:00 AM EST, 0.097
2010-01-05 3:00 AM EST, -0.01
2010-01-05 4:00 AM EST, -0.115
2010-01-05 5:00 AM EST, -0.19
2010-01-05 6:00 AM EST, -0.216
2010-01-05 7:00 AM EST, -0.189
2010-01-05 8:00 AM EST, -0.123
2010-01-05 9:00 AM EST, -0.038
2010-01-05 10:00 AM EST, 0.046
2010-01-05 11:00 AM EST, 0.114
2010-01-05 12:00 PM EST, 0.153
2010-01-05 1:00 PM EST, 0.152
2010-01-05 2:00 PM EST, 0.105
2010-01-05 3:00 PM EST, 0.023
2010-01-05 4:00 PM EST, -0.074
2010-01-05 5:00 PM EST, -0.156
2010-01-05 6:00 PM EST, -0.199
2010-01-05 7:00 PM EST, -0.192
2010-01-05 8:00 PM EST, -0.143
2010-01-05 9:00 PM EST, -0.068
2010-01-05 10:00 PM EST, 0.012
2010-01-05 11:00 PM EST, 0.081
2010-01-06 12:00 AM EST, 0.127
2010-01-06 1:00 AM EST, 0.138
2010-01-06 2:00 AM EST, 0.109
2010-01-06 3:00 AM EST, 0.042
2010-01-06 4:00 AM EST, -0.047
2010-01-06 5:00 AM EST, -0.132
2010-01-06 6:00 AM EST, -0.187
2010-01-06 7:00 AM EST, -0.196
2010-01-06 8:00 AM EST, -0.156
2010-01-06 9:00 AM EST, -0.083
2010-01-06 10:00 AM EST, 0.004
2010-01-06 11:00 AM EST, 0.086
2010-01-06 12:00 PM EST, 0.148
2010-01-06 1:00 PM EST, 0.178
2010-01-06 2:00 PM EST, 0.168
2010-01-06 3:00 PM EST, 0.118
2010-01-06 4:00 PM EST, 0.035
2010-01-06 5:00 PM EST, -0.061
2010-01-06 6:00 PM EST, -0.145
2010-01-06 7:00 PM EST, -0.195
2010-01-06 8:00 PM EST, -0.202
2010-01-06 9:00 PM EST, -0.169
2010-01-06 10:00 PM EST, -0.111
2010-01-06 11:00 PM EST, -0.046
2010-01-07 12:00 AM EST, 0.012
2010-01-07 1:00 AM EST, 0.053
2010-01-07 2:00 AM EST, 0.068
2010-01-07 3:00 AM EST, 0.049
2010-01-07 4:00 AM EST, -0.002
2010-01-07 5:00 AM EST, -0.073
2010-01-07 6:00 AM EST, -0.14
2010-01-07 7:00 AM EST, -0.18
2010-01-07 8:00 AM EST, -0.176
2010-01-07 9:00 AM EST, -0.129
2010-01-07 10:00 AM EST, -0.051
2010-01-07 11:00 AM EST, 0.036
2010-01-07 12:00 PM EST, 0.114
2010-01-07 1:00 PM EST, 0.169
2010-01-07 2:00 PM EST, 0.193
2010-01-07 3:00 PM EST, 0.179
2010-01-07 4:00 PM EST, 0.13
2010-01-07 5:00 PM EST, 0.049
2010-01-07 6:00 PM EST, -0.045
2010-01-07 7:00 PM EST, -0.132
2010-01-07 8:00 PM EST, -0.19
2010-01-07 9:00 PM EST, -0.209
2010-01-07 10:00 PM EST, -0.192
2010-01-07 11:00 PM EST, -0.151
2010-01-08 12:00 AM EST, -0.1
2010-01-08 1:00 AM EST, -0.05
2010-01-08 2:00 AM EST, -0.011
2010-01-08 3:00 AM EST, 0.01
2010-01-08 4:00 AM EST, 0.007
2010-01-08 5:00 AM EST, -0.027
2010-01-08 6:00 AM EST, -0.084
2010-01-08 7:00 AM EST, -0.141
2010-01-08 8:00 AM EST, -0.173
2010-01-08 9:00 AM EST, -0.161
2010-01-08 10:00 AM EST, -0.11
2010-01-08 11:00 AM EST, -0.031
2010-01-08 12:00 PM EST, 0.054
2010-01-08 1:00 PM EST, 0.128
2010-01-08 2:00 PM EST, 0.179
2010-01-08 3:00 PM EST, 0.2
2010-01-08 4:00 PM EST, 0.187
2010-01-08 5:00 PM EST, 0.14
2010-01-08 6:00 PM EST, 0.063
2010-01-08 7:00 PM EST, -0.031
2010-01-08 8:00 PM EST, -0.121
2010-01-08 9:00 PM EST, -0.186
2010-01-08 10:00 PM EST, -0.215
2010-01-08 11:00 PM EST, -0.21
2010-01-09 12:00 AM EST, -0.18
2010-01-09 1:00 AM EST, -0.139
2010-01-09 2:00 AM EST, -0.095
2010-01-09 3:00 AM EST, -0.056
2010-01-09 4:00 AM EST, -0.027
2010-01-09 5:00 AM EST, -0.016
2010-01-09 6:00 AM EST, -0.036
2010-01-09 7:00 AM EST, -0.084
2010-01-09 8:00 AM EST, -0.139
2010-01-09 9:00 AM EST, -0.168
2010-01-09 10:00 AM EST, -0.154
2010-01-09 11:00 AM EST, -0.1
2010-01-09 12:00 PM EST, -0.022
2010-01-09 1:00 PM EST, 0.06
2010-01-09 2:00 PM EST, 0.132
2010-01-09 3:00 PM EST, 0.182
2010-01-09 4:00 PM EST, 0.204
2010-01-09 5:00 PM EST, 0.192
2010-01-09 6:00 PM EST, 0.148
2010-01-09 7:00 PM EST, 0.071
2010-01-09 8:00 PM EST, -0.025
2010-01-09 9:00 PM EST, -0.118
2010-01-09 10:00 PM EST, -0.188
2010-01-09 11:00 PM EST, -0.222
2010-01-10 12:00 AM EST, -0.221
2010-01-10 1:00 AM EST, -0.197
2010-01-10 2:00 AM EST, -0.16
2010-01-10 3:00 AM EST, -0.118
2010-01-10 4:00 AM EST, -0.076
2010-01-10 5:00 AM EST, -0.042
2010-01-10 6:00 AM EST, -0.024
2010-01-10 7:00 AM EST, -0.036
2010-01-10 8:00 AM EST, -0.082
2010-01-10 9:00 AM EST, -0.137
2010-01-10 10:00 AM EST, -0.167
2010-01-10 11:00 AM EST, -0.152
2010-01-10 12:00 PM EST, -0.098
2010-01-10 1:00 PM EST, -0.02
2010-01-10 2:00 PM EST, 0.062
2010-01-10 3:00 PM EST, 0.133
2010-01-10 4:00 PM EST, 0.184
2010-01-10 5:00 PM EST, 0.208
2010-01-10 6:00 PM EST, 0.197
2010-01-10 7:00 PM EST, 0.15
2010-01-10 8:00 PM EST, 0.07
2010-01-10 9:00 PM EST, -0.029
2010-01-10 10:00 PM EST, -0.125
2010-01-10 11:00 PM EST, -0.195
2010-01-11 12:00 AM EST, -0.229
2010-01-11 1:00 AM EST, -0.228
2010-01-11 2:00 AM EST, -0.203
2010-01-11 3:00 AM EST, -0.165
2010-01-11 4:00 AM EST, -0.121
2010-01-11 5:00 AM EST, -0.076
2010-01-11 6:00 AM EST, -0.039
2010-01-11 7:00 AM EST, -0.022
2010-01-11 8:00 AM EST, -0.036
2010-01-11 9:00 AM EST, -0.086
2010-01-11 10:00 AM EST, -0.142
2010-01-11 11:00 AM EST, -0.17
2010-01-11 12:00 PM EST, -0.152
2010-01-11 1:00 PM EST, -0.096
2010-01-11 2:00 PM EST, -0.017
2010-01-11 3:00 PM EST, 0.066
2010-01-11 4:00 PM EST, 0.138
2010-01-11 5:00 PM EST, 0.191
2010-01-11 6:00 PM EST, 0.214
2010-01-11 7:00 PM EST, 0.199
2010-01-11 8:00 PM EST, 0.146
2010-01-11 9:00 PM EST, 0.059
2010-01-11 10:00 PM EST, -0.045
2010-01-11 11:00 PM EST, -0.141
2010-01-12 12:00 AM EST, -0.208
2010-01-12 1:00 AM EST, -0.236
2010-01-12 2:00 AM EST, -0.229
2010-01-12 3:00 AM EST, -0.199
2010-01-12 4:00 AM EST, -0.156
2010-01-12 5:00 AM EST, -0.107
2010-01-12 6:00 AM EST, -0.06
2010-01-12 7:00 AM EST, -0.025
2010-01-12 8:00 AM EST, -0.014
2010-01-12 9:00 AM EST, -0.041
2010-01-12 10:00 AM EST, -0.097
2010-01-12 11:00 AM EST, -0.152
2010-01-12 12:00 PM EST, -0.175
2010-01-12 1:00 PM EST, -0.151
2010-01-12 2:00 PM EST, -0.089
2010-01-12 3:00 PM EST, -0.006
2010-01-12 4:00 PM EST, 0.079
2010-01-12 5:00 PM EST, 0.152
2010-01-12 6:00 PM EST, 0.204
2010-01-12 7:00 PM EST, 0.22
2010-01-12 8:00 PM EST, 0.197
2010-01-12 9:00 PM EST, 0.133
2010-01-12 10:00 PM EST, 0.036
2010-01-12 11:00 PM EST, -0.072
2010-01-13 12:00 AM EST, -0.164
2010-01-13 1:00 AM EST, -0.222
2010-01-13 2:00 AM EST, -0.239
2010-01-13 3:00 AM EST, -0.222
2010-01-13 4:00 AM EST, -0.183
2010-01-13 5:00 AM EST, -0.133
2010-01-13 6:00 AM EST, -0.08
2010-01-13 7:00 AM EST, -0.034
2010-01-13 8:00 AM EST, -0.007
2010-01-13 9:00 AM EST, -0.01
