Date,Anomaly_m
1999-01-01,-0.055
1999-02-01,-0.076
1999-03-01,-0.067
1999-04-01,-0.059
1999-05-01,-0.027
1999-06-01,-0.022
1999-07-01,-0.015
1999-08-01,0.025
1999-09-01,0.094
1999-10-01,0.124
1999-11-01,0.087
1999-12-01,-0.008
2000-01-01,-0.055
2000-02-01,-0.076
2000-03-01,-0.067
2000-04-01,-0.059
2000-05-01,-0.027
2000-06-01,-0.022
2000-07-01,-0.015
2000-08-01,0.025
2000-09-01,0.094
2000-10-01,0.124
2000-11-01,0.087
2000-12-01,-0.008
2001-01-01,-0.055
2001-02-01,-0.076
2001-03-01,-0.067
2001-04-01,-0.059
2001-05-01,-0.027
2001-06-01,-0.022
2001-07-01,-0.015
2001-08-01,0.025
2001-09-01,0.094
2001-10-01,0.124
2001-11-01,0.087
2001-12-01,-0.008
2002-01-01,-0.055
2002-02-01,-0.076
2002-03-01,-0.067
2002-04-01,-0.059
2002-05-01,-0.027
2002-06-01,-0.022
2002-07-01,-0.015
2002-08-01,0.025
2002-09-01,0.094
2002-10-01,0.124
2002-11-01,0.087
2002-12-01,-0.008
2003-01-01,-0.055
2003-02-01,-0.076
2003-03-01,-0.067
2003-04-01,-0.059
2003-05-01,-0.027
2003-06-01,-0.022
2003-07-01,-0.015
2003-08-01,0.025
2003-09-01,0.094
2003-10-01,0.124
2003-11-01,0.087
2003-12-01,-0.008
2004-01-01,-0.055
2004-02-01,-0.076
2004-03-01,-0.067
2004-04-01,-0.059
2004-05-01,-0.027
2004-06-01,-0.022
2004-07-01,-0.015
2004-08-01,0.025
2004-09-01,0.094
2004-10-01,0.124
2004-11-01,0.087
2004-12-01,-0.008
2005-01-01,-0.055
2005-02-01,-0.076
2005-03-01,-0.067
2005-04-01,-0.059
2005-05-01,-0.027
2005-06-01,-0.022
2005-07-01,-0.015
2005-08-01,0.025
2005-09-01,0.094
2005-10-01,0.124
2005-11-01,0.087
2005-12-01,-0.008
2006-01-01,-0.055
2006-02-01,-0.076
2006-03-01,-0.067
2006-04-01,-0.059
2006-05-01,-0.027
2006-06-01,-0.022
2006-07-01,-0.015
2006-08-01,0.025
2006-09-01,0.094
2006-10-01,0.124
2006-11-01,0.087
2006-12-01,-0.008
2007-01-01,-0.055
2007-02-01,-0.076
2007-03-01,-0.067
2007-04-01,-0.059
2007-05-01,-0.027
2007-06-01,-0.022
2007-07-01,-0.015
2007-08-01,0.025
2007-09-01,0.094
2007-10-01,0.124
2007-11-01,0.087
2007-12-01,-0.008
2008-01-01,-0.055
2008-02-01,-0.076
2008-03-01,-0.067
2008-04-01,-0.059
2008-05-01,-0.027
2008-06-01,-0.022
2008-07-01,-0.015
2008-08-01,0.025
2008-09-01,0.094
2008-10-01,0.124
2008-11-01,0.087
2008-12-01,-0.008
2009-01-01,-0.055
2009-02-01,-0.076
2009-03-01,-0.067
2009-04-01,-0.059
2009-05-01,-0.027
2009-06-01,-0.022
2009-07-01,-0.015
2009-08-01,0.025
2009-09-01,0.094
2009-10-01,0.124
2009-11-01,0.087
2009-12-01,-0.008
2010-01-01,-0.055
2010-02-01,-0.076
2010-03-01,-0.067
2010-04-01,-0.059
2010-05-01,-0.027
2010-06-01,-0.022
2010-07-01,-0.015
2010-08-01,0.025
2010-09-01,0.094
2010-10-01,0.124
2010-11-01,0.087
2010-12-01,-0.008
2011-01-01,-0.055
2011-02-01,-0.076
2011-03-01,-0.067
2011-04-01,-0.059
2011-05-01,-0.027
2011-06-01,-0.022
2011-07-01,-0.015
2011-08-01,0.025
2011-09-01,0.094
2011-10-01,0.124
2011-11-01,0.087
2011-12-01,-0.008
2012-01-01,-0.055
2012-02-01,-0.076
2012-03-01,-0.067
2012-04-01,-0.059
2012-05-01,-0.027
2012-06-01,-0.022
2012-07-01,-0.015
2012-08-01,0.025
2012-09-01,0.094
2012-10-01,0.124
2012-11-01,0.087
2012-12-01,-0.008
2013-01-01,-0.055
2013-02-01,-0.076
2013-03-01,-0.067
2013-04-01,-0.059
2013-05-01,-0.027
2013-06-01,-0.022
2013-07-01,-0.015
2013-08-01,0.025
2013-09-01,0.094
2013-10-01,0.124
2013-11-01,0.087
2013-12-01,-0.008
2014-01-01,-0.055
2014-02-01,-0.076
2014-03-01,-0.067
2014-04-01,-0.059
2014-05-01,-0.027
2014-06-01,-0.022
2014-07-01,-0.015
2014-08-01,0.025
2014-09-01,0.094
2014-10-01,0.124
2014-11-01,0.087
2014-12-01,-0.008
2015-01-01,-0.055
2015-02-01,-0.076
2015-03-01,-0.067
2015-04-01,-0.059
2015-05-01,-0.027
2015-06-01,-0.022
2015-07-01,-0.015
2015-08-01,0.025
2015-09-01,0.094
2015-10-01,0.124
2015-11-01,0.087
2015-12-01,-0.008
2016-01-01,-0.055
2016-02-01,-0.076
2016-03-01,-0.067
2016-04-01,-0.059
2016-05-01,-0.027
2016-06-01,-0.022
2016-07-01,-0.015
2016-08-01,0.025
2016-09-01,0.094
2016-10-01,0.124
2016-11-01,0.087
2016-12-01,-0.008
