Basin,       1ft,       2ft,       3ft,       4ft,       5ft,       6ft,       7ft,       8ft,       9ft,      10ft,     Land
    1,       0.,        0.,        0.,        0.,        0.,        0.,        0.,        0.,        0.,        0.,        0.
    5,  7586800.,  1264000.,  1636000.,  2305200.,  4968800., 21266800.,  8556800.,  9944000.,  9952800.,    11200., 15609200.
    6,  4224400.,  1494400.,  2752800.,  4761200.,     6800.,        0.,        0.,        0.,        0.,        0.,  5766000.
    7,   569250.,   304254.,   411323.,  3287907.,  3477955.,   382771.,        0.,        0.,        0.,        0.,  3531489.
    8,   140974.,   151681.,   149896.,   855659.,  5773690.,   898486.,      892.,        0.,        0.,        0.,  2088736.
    9,   359573.,   218599.,   373849.,   773573.,  1819279.,  4048989.,  8313900., 10459739.,  5062575.,  1066228.,  7616168.
   10,    88332.,    99931.,   110638.,   225737.,   299793.,   477349.,   903840.,   617431.,   225737.,    26767.,  3458325.
   11,    98146.,    89224.,   272133.,   270349.,   558543.,  1101917.,  1071581.,        0.,      892.,        0.,  1835339.
   12,   176664.,   244474.,   240905.,  2764162., 17169390., 13455884.,   658474.,        0.,        0.,        0.,  1276797.
   13,  4825239.,  1819279.,  3085369.,  6610612.,  1233077.,        0.,        0.,        0.,        0.,        0.,  7499284.
   14,  1114409.,   834245.,  3663541.,  4330045.,     1784.,        0.,        0.,        0.,        0.,        0.,  3765256.
   15,   387233.,   389017.,   606724.,  2318042.,  7897224., 32909410.,  5241915.,        0.,        0.,        0.,  3077339.
   16,   480026.,   357789.,   341728.,   663827.,  1636370.,  2718658.,  5175889.,    21414.,        0.,        0.,   681672.
   17,   198970.,   300685.,   339052.,   406862.,  1780020.,  4463881.,  4295247.,   602263.,      892.,      892.,  3013990.
   18,   149896.,   164172.,   220383.,   364926.,   691487.,  1661352.,  4535260.,  6731957.,   330129.,     8922.,  3444050.
   19,   924361.,   547836.,   836030.,  1102810.,  1469521.,  2448309.,  7511776., 12414639.,     4461.,        0.,  2102119.
   20,  1060874.,  1212555.,   869935.,  1366021.,  2384960.,  5868268., 24225230.,  7824952.,   104392.,    51750.,  6441979.
   21,  1253598.,   764650.,   523745.,   857443.,  1283042.,  2025387.,  6587414.,  5722833.,   137405.,        0.,  1536439.
   22,  2102119.,  1371374.,   794987.,  1927240.,  2765947.,  4599502., 15058348.,  8387956.,        0.,        0.,  3959765.
   23,  1955792.,  3931213.,  3345903.,  6252824.,  4420161.,   583525.,        0.,        0.,        0.,        0.,  3614468.
   24,  1299995.,  1549822.,  2342132.,  7671487.,  1214340.,        0.,        0.,        0.,        0.,        0.,  5208902.
   25,  2915200.,   309200.,   801600.,        0.,        0.,        0.,        0.,        0.,        0.,        0.,  3696000.
   26,   786064.,  3002390.,  1648861.,  2334994.,  3659080.,  7116513.,      892.,        0.,        0.,        0.,  1217016.
   27,   935961.,  1328547.,   779818.,  1328547.,  2261831.,  2974731.,  5208010.,   215922.,     2677.,        0.,   612969.
   28,  1368697.,  3515429.,  2035201.,  1213447.,  1707749.,  2358193.,  4214054.,   501439.,      892.,     2677.,   814616.
   29,   554974.,  1063551.,   563004.,   604939.,  1366021.,  2171714.,  5115217.,   413107.,        0.,        0.,   382771.
   30,  2838218.,  9161529.,  4448713.,  2401912.,  4460312.,  6875608., 12417315., 22106158., 26283630.,  8429891.,  3018451.
   31,  1022508.,  3699230.,  2858740.,  2440279.,  8403124., 12925000., 17489704., 34603776., 31536252., 18931566.,  4553997.
