Basin,Name,Stage_cm,Temperature_C,DissolvedOxygen_mg/L,Salinity_ppt,TotalOrganicCarbon_mmol/m^3,TotalOrganicPhosphorus_mmol/m^3,TotalOrganicNitrogen_mmol/m^3,Phosphate_mmol/m^3,Nitrate_mmol/m^3,Ammonium_mmol/m^3
5,  Barnes Sound,            0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
6,  Manatee Bay,             0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
7,  Long Sound,              0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
8,  Little Blackwater Sound, 0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
9,  Blackwater Sound,        0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
10, Tarpon,                  0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
11, Little Buttonwood Sound, 0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
12, Nest Keys,               0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
13, Joe Bay,                 0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
14, Little Madeira Bay,      0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
15, Black Betsy Keys,        0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
16, Upper Cross Bank,        0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
17, Rock Harbor,             0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
18, Buttonwood Sound,        0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
19, Jimmie Key,              0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
20, Cotton Key,              0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
21, Captain Key,             0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
22, Russell Key,             0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
23, Crocodile Dragover,      0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
24, Madeira Bay,             0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
25, Terrapin Bay,            0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
26, End Key,                 0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
27, Calusa Keys,             0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
28, Spy Key,                 0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
29, Porpoise Lake,           0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
30, Lignumvitae,             0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
31, Long Key,                0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
32, Twin Keys,               0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
33, Corrine Key,             0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
34, Whipray,                 0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
35, North Whipray,           0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
36, Rankin Bight,            0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
37, Rankin Lake,             0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
38, Rabbit Key,              0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
39, Johnson Key,             0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
40, Catfish Key,             0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
41, Snake Bight,             0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
42, Conchie Channel,         0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
43, Ninemile Bank,           0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
44, Dildo Key Bank,          0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
45, Tavernier Creek,         0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
46, Butternut Key,           0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
47, Duck Key,                0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
48, Manatee Keys,            0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
49, Swash Keys,              0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
50, Deer Key,                0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
51, Eagle Key,               0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
52, Steamboat Channel,       0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
53, Arsenicker Keys,         0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
54, Sid Key,                 0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
55, Pelican Keys,            0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
56, Blue Bank,               0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
57, First National Bank,     0.,  25.,  10.,  35.,  700.,  0.,  40.,  0.,  1.,  10.
