Source_Basin, EDEN_Station, R_m,   Dest_Basin, Dest_Name,         Shoals
82,           S22,          500,   5,          Barnes Sound,      [ 373 ]
80,           S22,          2080,  6,          Manatee Bay,       [ 333 334 ]
79,           S22,          3760,  7,          Long Sound,        [ 336 337 338 339 340 341 342 343 ]
77,           S20,          3230,  13,         Joe Bay,           [ 348 358 359 360 ]
75,           S18,          5360,  14,         Little Madeira Bay,[ 168 169 170 171 172 173 174 ]
74,           S17,          6330,  24,         Madeira Bay,       [ 149 150 151 ]
73,           S17,          7240,  25,         Terrapin Bay,      [ 142 143 144 ]
72,           S16,          9660,  35,         North Whipray,     [ 126 127 ]
71,           S16,          9480,  36,         Rankin Bight,      [ 135 ]
70,           S16,          8900,  37,         Rankin Lake,       [ 136 137 138 139 140 141 ]
69,           S15,          10310, 41,         Snake Bight,       [ 24 25 26 ]
78,           S21,          6180,  50,         Deer Key,          [ 346 347 ]
76,           S19,          6910,  51,         Eagle Key,         [ 356 357 ]
81,           S15,          15000, 42,         Conchie Channel,   [ 6 7 8 9 10 ]
