Shoal, Basin_A, Basin_B
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,81,42
7,81,42
8,81,42
9,81,42
10,81,42
11,41,42
12,41,42
13,41,42
14,40,42
15,40,42
16,40,42
17,39,42
18,39,57
19,43,57
20,57,58
21,43,58
22,60,58
23,59,42
24,69,41
25,69,41
26,69,41
27,37,41
28,37,41
29,37,41
30,41,55
31,40,41
32,40,55
33,40,44
34,39,40
35,39,44
36,38,39
37,39,56
38,38,56
39,38,43
40,38,53
41,32,38
42,38,54
43,38,44
44,38,44
45,61,43
46,31,43
47,43,53
48,32,53
49,30,32
50,30,53
51,30,53
52,30,31
53,30,31
54,30,31
55,30,31
56,30,31
57,30,31
58,30,31
59,30,31
60,30,31
61,64,31
62,64,31
63,64,31
64,63,31
65,63,31
66,63,31
67,63,31
68,63,31
69,0,0
70,62,31
71,30,32
72,30,32
73,28,32
74,28,30
75,32,33
76,32,33
77,33,54
78,33,54
79,54,55
80,54,55
81,54,55
82,44,54
83,44,54
84,33,55
85,33,55
86,33,55
87,33,34
88,33,34
89,28,33
90,28,33
91,28,33
92,34,55
93,34,55
94,34,55
95,37,55
96,37,55
97,37,55
98,37,55
99,37,55
100,34,37
101,34,35
102,34,35
103,34,35
104,26,34
105,27,34
106,27,34
107,27,34
108,27,34
109,27,34
110,27,34
111,27,34
112,27,28
113,27,28
114,27,28
115,28,29
116,28,29
117,29,30
118,29,30
119,29,30
120,26,27
121,26,27
122,26,35
123,26,35
124,26,35
125,25,35
126,72,35
127,72,35
128,35,36
129,35,36
130,35,37
131,35,37
132,36,37
133,36,37
134,36,37
135,71,36
136,70,37
137,70,37
138,70,37
139,70,37
140,70,37
141,70,37
142,73,25
143,73,25
144,73,25
145,24,25
146,25,26
147,25,26
148,24,26
149,74,24
150,74,24
151,74,24
152,15,24
153,23,24
154,23,24
155,23,24
156,23,24
157,23,26
158,23,26
159,22,23
160,22,23
161,22,23
162,23,48
163,15,23
164,15,23
165,15,23
166,15,23
167,0,15
168,75,14
169,75,14
170,75,14
171,75,14
172,75,14
173,75,14
174,75,14
175,14,51
176,14,51
177,14,51
178,14,51
179,14,15
180,14,15
181,15,51
182,15,51
183,15,51
184,15,51
185,15,51
186,15,51
187,15,51
188,15,51
189,12,15
190,12,15
191,12,15
192,12,15
193,12,15
194,46,48
195,16,48
196,16,48
197,16,48
198,19,48
199,19,48
200,19,48
201,19,48
202,19,48
203,19,48
204,19,48
205,19,48
206,19,48
207,22,48
208,22,48
209,22,48
210,19,22
211,19,22
212,19,22
213,19,22
214,19,22
215,19,22
216,21,22
217,21,22
218,22,29
219,22,28
220,22,27
221,22,26
222,28,29
223,28,29
224,21,29
225,21,29
226,21,29
227,29,30
228,21,30
229,21,30
230,21,30
231,20,30
232,30,52
233,30,52
234,30,52
235,30,52
236,30,52
237,64,30
238,20,21
239,64,31
240,65,52
241,65,20
242,65,20
243,20,45
244,20,45
245,20,45
246,20,45
247,20,45
248,20,45
249,20,21
250,20,21
251,20,21
252,20,21
253,20,21
254,20,21
255,21,45
256,19,21
257,19,21
258,19,21
259,16,19
260,16,19
261,16,45
262,16,45
263,16,45
264,16,45
265,16,46
266,45,46
267,16,46
268,16,46
269,16,46
270,16,46
271,66,45
272,66,45
273,66,45
274,66,45
275,17,45
276,17,46
277,17,46
278,17,46
279,17,49
280,17,49
281,17,49
282,17,49
283,17,49
284,17,49
285,18,49
286,17,18
287,17,18
288,66,17
289,67,18
290,67,18
291,10,18
292,10,18
293,11,18
294,18,49
295,18,49
296,18,49
297,18,49
298,11,47
299,11,47
300,11,47
301,10,11
302,10,11
303,10,11
304,10,11
305,9,11
306,9,11
307,9,47
308,9,10
309,67,10
310,67,9
311,5,9
312,5,9
313,5,9
314,5,9
315,5,8
316,8,9
317,9,47
318,9,47
319,8,47
320,8,47
321,7,8
322,7,8
323,6,8
324,6,8
325,5,6
326,5,6
327,5,6
328,5,6
329,5,6
330,5,6
331,5,6
332,5,6
333,80,6
334,80,6
335,6,7
336,79,7
337,79,7
338,79,7
339,79,7
340,79,7
341,79,7
342,79,7
343,79,7
344,7,47
345,7,47
346,78,50
347,78,50
348,77,13
349,13,50
350,13,50
351,13,50
352,13,51
353,13,51
354,13,51
355,13,51
356,76,51
357,76,51
358,77,13
359,77,13
360,77,13
361,0,0
362,68,5
363,68,5
364,0,0
365,67,5
366,67,5
367,0,0
368,0,0
369,0,0
370,60,58
371,61,43
372,19,45
373,82,5
374,12,46
375,12,49
376,12,49
377,12,49
378,47,49
379,47,49
380,12,47
381,12,47
382,12,47
383,12,47
384,12,50
385,50,51
386,50,51
387,50,51
388,50,51
389,50,51
390,42,58
391,42,58
392,42,57
393,42,57
394,42,57
395,56,57
396,43,56
397,43,56
398,43,56
399,44,55
400,44,55
401,44,55
402,32,54
403,32,54
404,32,54
405,31,53
406,31,53
407,31,53
408,20,52
409,20,52
410,20,52
411,15,48
412,15,48
413,46,49
414,46,49
415,46,49
416,12,51
417,12,51
418,12,51
419,47,50
420,47,50
421,47,50
422,0,0
423,0,0
424,0,0
425,0,0
