Section,Total Length,0,1,2,3,4,5,6,7,8,9,Check Sum,Description
6,2095,2095,0,0,0,0,0,0,0,0,0,0,
7,2767,2767,0,0,0,0,0,0,0,0,0,0,
8,3820,3820,0,0,0,0,0,0,0,0,0,0,
9,7784,7784,0,0,0,0,0,0,0,0,0,0,
10,2780,2780,0,0,0,0,0,0,0,0,0,0,
24,1906,1906,0,0,0,0,0,0,0,0,0,0,
25,3585,3585,0,0,0,0,0,0,0,0,0,0,
26,3320,3320,0,0,0,0,0,0,0,0,0,0,
135,1926,1926,0,0,0,0,0,0,0,0,0,0,
136,1379,1369,10,0,0,0,0,0,0,0,0,0,creek
137,1864,1864,0,0,0,0,0,0,0,0,0,0,
138,748,738,10,0,0,0,0,0,0,0,0,0,creek
139,1614,1594,20,0,0,0,0,0,0,0,0,0,creek
141,2156,2156,0,0,0,0,0,0,0,0,0,0,
140,1365,1365,0,0,0,0,0,0,0,0,0,0,
127,1566,1566,0,0,0,0,0,0,0,0,0,0,
126,2270,2270,0,0,0,0,0,0,0,0,0,0,
142,1677,1677,0,0,0,0,0,0,0,0,0,0,
143,2116,2106,10,0,0,0,0,0,0,0,0,0,creek
144,2926,2906,20,0,0,0,0,0,0,0,0,0,creek
149,1748,1748,0,0,0,0,0,0,0,0,0,0,
150,2260,2260,0,0,0,0,0,0,0,0,0,0,
151,3042,3042,0,0,0,0,0,0,0,0,0,0,
167,781,781,0,0,0,0,0,0,0,0,0,0,
168,1598,1598,0,0,0,0,0,0,0,0,0,0,
169,676,676,0,0,0,0,0,0,0,0,0,0,
170,2108,2108,0,0,0,0,0,0,0,0,0,0,
171,1670,1660,10,0,0,0,0,0,0,0,0,0,creek
172,355,355,0,0,0,0,0,0,0,0,0,0,
173,2992,2992,0,0,0,0,0,0,0,0,0,0,
174,1306,1306,0,0,0,0,0,0,0,0,0,0,
357,780,780,0,0,0,0,0,0,0,0,0,0,
356,682,672,10,0,0,0,0,0,0,0,0,0,
358,2928,634,1147,1147,0,0,0,0,0,0,0,0,Joe Bay
359,6541,0,6541,0,0,0,0,0,0,0,0,0,Joe Bay
360,4455,0,4455,0,0,0,0,0,0,0,0,0,Joe Bay
348,599,300,299,0,0,0,0,0,0,0,0,0,Joe Bay
347,2280,2280,0,0,0,0,0,0,0,0,0,0,
346,540,540,0,0,0,0,0,0,0,0,0,0,
343,1994,1994,0,0,0,0,0,0,0,0,0,0,
342,1613,1200,403,10,0,0,0,0,0,0,0,0,Long sound 1/3 at 1' + creeks
341,1700,1122,578,0,0,0,0,0,0,0,0,0,Long sound 1/3 at 1'
340,855,570,285,0,0,0,0,0,0,0,0,0,Long sound 1/3 at 1'
339,205,137,68,0,0,0,0,0,0,0,0,0,Long sound 1/3 at 1'
338,854,570,284,0,0,0,0,0,0,0,0,0,Long sound 1/3 at 1'
337,420,280,140,0,0,0,0,0,0,0,0,0,Long sound 1/3 at 1'
336,1146,764,382,0,0,0,0,0,0,0,0,0,Long sound 1/3 at 1'
334,1691,1691,0,0,0,0,0,0,0,0,0,0,
333,3617,2312,1205,0,0,100,0,0,0,0,0,0,MB 1/3 connect + S197
373,2292,1126,1146,20,0,0,0,0,0,0,0,0,MD 1/2 connect + creeks
