Station	UTM_East	UTM_North
1	555200.0	2796100.0
2	550000.0	2796100.0
3	545000.0	2796100.0
4	540000.0	2796100.0
5	535000.0	2796100.0
6	530000.0	2796100.0
7	525000.0	2796100.0
8	520000.0	2796100.0
9	518000.0	2799000.0
10	513000.0	2803000.0
11	508000.0	2803000.0
12	508000.0	2806000.0
13	513000.0	2806000.0
14	518000.0	2803000.0
15	520000.0	2794000.0
16	525000.0	2792500.0
17	530000.0	2790000.0
18	535000.0	2791500.0
19	540000.0	2794500.0
20	545000.0	2795000.0
21	550000.0	2795500.0
22	555200.0	2795700.0
