Date, KeyWestMSL+SC_NAVD,VacaKeyMSL+SC_NAVD, VirginiaKeyMSL+SC_NAVD,MeanMSL+SC_NAVD,Anomaly_m_2008_2015_MSL
1999-09-15,-0.056,-0.026,-0.032,-0.038,0.11
1999-10-15,-0.08,-0.075,-0.059,-0.0713333333333333,0.0766666666666667
1999-11-15,-0.126,-0.093,-0.122,-0.113666666666667,0.034333333333333
1999-12-15,-0.251,-0.224,-0.243,-0.239333333333333,-0.091333333333333
2000-01-15,-0.304,-0.272,-0.296,-0.290666666666667,-0.142666666666667
2000-02-15,-0.325,-0.293,-0.323,-0.313666666666667,-0.165666666666667
2000-03-15,-0.33,-0.283,-0.31,-0.307666666666667,-0.159666666666667
2000-04-15,-0.301,-0.257,-0.298,-0.285333333333333,-0.137333333333333
2000-05-15,-0.307,-0.276,-0.309,-0.297333333333333,-0.149333333333333
2000-06-15,-0.224,-0.218,-0.251,-0.231,-0.083
2000-07-15,-0.175,-0.14,-0.193,-0.169333333333333,-0.021333333333333
2000-08-15,-0.177,-0.144,-0.202,-0.174333333333333,-0.026333333333333
2000-09-15,-0.138,-0.107,-0.119,-0.121333333333333,0.026666666666667
2000-10-15,-0.082,-0.032,-0.028,-0.0473333333333333,0.100666666666667
2000-11-15,-0.212,-0.158,-0.16,-0.176666666666667,-0.028666666666667
2000-12-15,-0.266,-0.213,-0.244,-0.241,-0.093
2001-01-15,-0.389,-0.325,-0.354,-0.356,-0.208
2001-02-15,-0.413,-0.376,-0.397,-0.395333333333333,-0.247333333333333
2001-03-15,-0.379,-0.305,-0.35,-0.344666666666667,-0.196666666666667
2001-04-15,-0.37,-0.33,-0.347,-0.349,-0.201
2001-05-15,-0.247,-0.22,-0.228,-0.231666666666667,-0.083666666666667
2001-06-15,-0.371,-0.332,-0.357,-0.353333333333333,-0.205333333333333
2001-07-15,-0.28,-0.24,-0.307,-0.275666666666667,-0.127666666666667
2001-08-15,-0.223,-0.191,-0.284,-0.232666666666667,-0.084666666666667
2001-09-15,-0.192,-0.148,-0.185,-0.175,-0.027
2001-10-15,-0.095,-0.078,-0.067,-0.08,0.068
2001-11-15,-0.122,-0.091,-0.091,-0.101333333333333,0.046666666666667
2001-12-15,-0.235,-0.201,-0.229,-0.221666666666667,-0.073666666666667
2002-01-15,-0.361,-0.314,-0.398,-0.357666666666667,-0.209666666666667
2002-02-15,-0.306,-0.256,-0.292,-0.284666666666667,-0.136666666666667
2002-03-15,-0.334,-0.299,-0.338,-0.323666666666667,-0.175666666666667
2002-04-15,-0.276,-0.256,-0.29,-0.274,-0.126
2002-05-15,-0.261,-0.238,-0.264,-0.254333333333333,-0.106333333333333
2002-06-15,-0.199,-0.178,-0.209,-0.195333333333333,-0.047333333333333
2002-07-15,-0.26,-0.249,-0.288,-0.265666666666667,-0.117666666666667
2002-08-15,-0.172,-0.151,-0.175,-0.166,-0.018
2002-09-15,-0.122,-0.105,-0.119,-0.115333333333333,0.032666666666667
2002-10-15,-0.095,-0.071,-0.086,-0.084,0.064
2002-11-15,-0.209,-0.156,-0.227,-0.197333333333333,-0.049333333333333
2002-12-15,-0.302,-0.262,-0.288,-0.284,-0.136
2003-01-15,-0.382,-0.31,-0.363,-0.351666666666667,-0.203666666666667
2003-02-15,-0.426,-0.374,-0.421,-0.407,-0.259
2003-03-15,-0.338,-0.286,-0.319,-0.314333333333333,-0.166333333333333
2003-04-15,-0.263,-0.217,-0.235,-0.238333333333333,-0.090333333333333
2003-05-15,-0.292,-0.242,-0.3,-0.278,-0.13
2003-06-15,-0.299,-0.266,-0.332,-0.299,-0.151
2003-07-15,-0.275,-0.259,-0.327,-0.287,-0.139
2003-08-15,-0.216,-0.187,-0.258,-0.220333333333333,-0.072333333333333
2003-09-15,-0.13,-0.109,-0.167,-0.135333333333333,0.012666666666667
2003-10-15,-0.15,-0.106,-0.123,-0.126333333333333,0.021666666666667
2003-11-15,-0.157,-0.12,-0.138,-0.138333333333333,0.00966666666666699
2003-12-15,-0.257,-0.22,-0.271,-0.249333333333333,-0.101333333333333
2004-01-15,-0.287,-0.257,-0.308,-0.284,-0.136
2004-02-15,-0.302,-0.272,-0.302,-0.292,-0.144
2004-03-15,-0.277,-0.252,-0.282,-0.270333333333333,-0.122333333333333
2004-04-15,-0.32,-0.296,-0.313,-0.309666666666667,-0.161666666666667
2004-05-15,-0.306,-0.301,-0.32,-0.309,-0.161
2004-06-15,-0.286,-0.252,-0.319,-0.285666666666667,-0.137666666666667
2004-07-15,-0.316,-0.26,-0.308,-0.294666666666667,-0.146666666666667
2004-08-15,-0.256,-0.239,-0.298,-0.264333333333333,-0.116333333333333
2004-09-15,-0.157,-0.124,-0.155,-0.145333333333333,0.00266666666666698
2004-10-15,-0.125,-0.104,-0.13,-0.119666666666667,0.028333333333333
2004-11-15,-0.154,-0.124,-0.166,-0.148,0
2004-12-15,-0.318,-0.278,-0.308,-0.301333333333333,-0.153333333333333
2005-01-15,-0.269,-0.24,-0.271,-0.26,-0.112
2005-02-15,-0.247,-0.208,-0.234,-0.229666666666667,-0.081666666666667
2005-03-15,-0.329,-0.309,-0.323,-0.320333333333333,-0.172333333333333
2005-04-15,-0.273,-0.242,-0.255,-0.256666666666667,-0.108666666666667
2005-05-15,-0.245,-0.22,-0.236,-0.233666666666667,-0.085666666666667
2005-06-15,-0.224,-0.212,-0.232,-0.222666666666667,-0.074666666666667
2005-07-15,-0.22,-0.217,-0.27,-0.235666666666667,-0.087666666666667
2005-08-15,-0.205,-0.177,-0.234,-0.205333333333333,-0.057333333333333
2005-09-15,-0.111,-0.088,-0.062,-0.087,0.061
2005-10-15,-0.09,-0.064,-0.065,-0.073,0.075
2005-11-15,-0.228,-0.189,-0.226,-0.214333333333333,-0.066333333333333
2005-12-15,-0.338,-0.284,-0.322,-0.314666666666667,-0.166666666666667
2006-01-15,-0.351,-0.309,-0.356,-0.338666666666667,-0.190666666666667
2006-02-15,-0.389,-0.333,-0.368,-0.363333333333333,-0.215333333333333
2006-03-15,-0.313,-0.272,-0.288,-0.291,-0.143
